country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","25-10-2025 18:00:00",28.5504249,77.2159377,OZONE,9,16,13
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","25-10-2025 18:00:00",28.531346,77.190156,PM2.5,96,308,175
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","25-10-2025 18:00:00",28.531346,77.190156,CO,28,104,50
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","25-10-2025 18:00:00",28.672342,77.315260,PM2.5,172,500,347
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","25-10-2025 18:00:00",28.672342,77.315260,PM10,148,465,305
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","25-10-2025 18:00:00",28.672342,77.315260,CO,28,139,50
India,Delhi,Delhi,"Pusa, Delhi - DPCC","25-10-2025 18:00:00",28.639652,77.146275,NO2,31,411,110
India,Delhi,Delhi,"Pusa, Delhi - IMD","25-10-2025 18:00:00",28.636110,77.173332,CO,22,117,59
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","25-10-2025 18:00:00",28.563262,77.186937,OZONE,4,301,139
India,Delhi,Delhi,"Rohini, Delhi - DPCC","25-10-2025 18:00:00",28.732528,77.119920,PM10,149,453,327
India,Delhi,Delhi,"Rohini, Delhi - DPCC","25-10-2025 18:00:00",28.732528,77.119920,NH3,10,13,12
India,Delhi,Delhi,"Rohini, Delhi - DPCC","25-10-2025 18:00:00",28.732528,77.119920,SO2,2,9,4
India,Delhi,Delhi,"Rohini, Delhi - DPCC","25-10-2025 18:00:00",28.732528,77.119920,OZONE,21,259,146
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","25-10-2025 18:00:00",28.6514781,77.1473105,CO,55,124,65
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","25-10-2025 18:00:00",28.699793,77.165453,PM10,254,500,405
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","25-10-2025 18:00:00",23.107969,72.574648,CO,16,73,38
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","25-10-2025 18:00:00",23.107969,72.574648,OZONE,35,68,59
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","25-10-2025 18:00:00",22.977134,72.553024,NO2,25,70,40
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","25-10-2025 18:00:00",22.977134,72.553024,CO,11,29,20
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","25-10-2025 18:00:00",23.002657,72.591912,PM10,90,128,111
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","25-10-2025 18:00:00",23.002657,72.591912,SO2,23,33,28
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","25-10-2025 18:00:00",28.6811736,77.3025234,PM10,114,291,188
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","25-10-2025 18:00:00",28.6811736,77.3025234,OZONE,2,69,47
India,Delhi,Delhi,"ITO, Delhi - CPCB","25-10-2025 18:00:00",28.628624,77.241060,PM2.5,163,410,292
India,Delhi,Delhi,"ITO, Delhi - CPCB","25-10-2025 18:00:00",28.628624,77.241060,SO2,7,26,15
India,Delhi,Delhi,"ITO, Delhi - CPCB","25-10-2025 18:00:00",28.628624,77.241060,OZONE,5,60,33
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","25-10-2025 18:00:00",28.732820,77.170633,PM10,157,479,357
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","25-10-2025 18:00:00",28.732820,77.170633,NH3,1,6,4
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","25-10-2025 18:00:00",23.020509,72.579261,PM10,86,160,115
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","25-10-2025 18:00:00",23.020509,72.579261,NH3,8,11,9
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","25-10-2025 18:00:00",23.020509,72.579261,OZONE,25,91,78
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","25-10-2025 18:00:00",23.016834,72.625775,PM2.5,65,205,108
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","25-10-2025 18:00:00",23.016834,72.625775,SO2,5,23,10
